Channel,N,ku,kv,SC_BLER,n_cw
ISI-MAC (h=0.5),16,4,7,0.1668,5000
ISI-MAC (h=0.5),32,7,15,0.0602,5000
ISI-MAC (h=0.5),64,15,29,0.0286,5000
ISI-MAC (h=0.5),128,30,58,0.0092,2500
ISI-MAC (h=0.5),256,59,117,0.0056,1250
ISI-MAC (h=0.5),512,119,233,0.0064,625
ISI-MAC (h=0.5),1024,238,467,0.0160,312
ISI-MAC (h=0.8),16,4,7,0.1858,5000
ISI-MAC (h=0.8),32,7,15,0.0886,5000
ISI-MAC (h=0.8),64,15,29,0.0538,5000
ISI-MAC (h=0.8),128,30,58,0.0480,2500
ISI-MAC (h=0.8),256,59,117,0.0224,1250
ISI-MAC (h=0.8),512,119,233,0.0304,625
ISI-MAC (h=0.8),1024,238,467,0.1571,312
Gilbert-Elliott MAC,16,4,7,0.1862,5000
Gilbert-Elliott MAC,32,7,15,0.0846,5000
Gilbert-Elliott MAC,64,15,29,0.0706,5000
Gilbert-Elliott MAC,128,30,58,0.0568,2500
Gilbert-Elliott MAC,256,59,117,0.1184,1250
Gilbert-Elliott MAC,512,119,233,0.2656,625
Gilbert-Elliott MAC,1024,238,467,0.6122,312
