Channel,Class,N,avg_MI_U,avg_MI_V,avg_sum,Capacity
GMAC,B,16,0.6067,0.7751,1.3818,1.376
GMAC,B,32,0.6046,0.7737,1.3783,1.376
GMAC,B,64,0.6011,0.7717,1.3728,1.376
GMAC,B,128,0.6048,0.7738,1.3786,1.376
GMAC,B,256,0.6034,0.7736,1.3769,1.376
GMAC,C,16,0.4681,0.9090,1.3772,1.376
GMAC,C,32,0.4668,0.9116,1.3784,1.376
GMAC,C,64,0.4625,0.9105,1.3729,1.376
GMAC,C,128,0.4678,0.9117,1.3795,1.376
GMAC,C,256,0.4649,0.9099,1.3748,1.376
BEMAC,B,16,0.6283,0.8771,1.5054,1.5
BEMAC,B,32,0.6263,0.8760,1.5023,1.5
BEMAC,B,64,0.6233,0.8752,1.4985,1.5
BEMAC,C,16,0.5054,1.0000,1.5054,1.5
BEMAC,C,32,0.5023,1.0000,1.5023,1.5
BEMAC,C,64,0.4985,1.0000,1.4985,1.5
ABNMAC,B,16,0.5599,0.6359,1.1958,1.2
ABNMAC,B,32,0.5619,0.6389,1.2008,1.2
ABNMAC,B,64,0.5586,0.6307,1.1893,1.2
ABNMAC,C,16,0.4014,0.7958,1.1972,1.2
ABNMAC,C,32,0.3991,0.7989,1.1980,1.2
ABNMAC,C,64,0.4033,0.7971,1.2005,1.2
